idPublicidad|categoria|mensaje|empresa|duracion
1|AAA|Hazte Premium hoy y disfruta sin anuncios! Solo $19,900/mes|UdeATunes|5
2|AAA|Calidad HD 320 kbps sin interrupciones! Prueba Premium GRATIS por 30 dias|UdeATunes|5
3|AAA|Suscribete a Premium y accede a 10,000 canciones en tu lista de favoritos|UdeATunes|5
4|B|Nuevo iPhone 15 Pro disponible! Hasta 30% de descuento en preventa|Apple Store|4
5|B|Samsung Galaxy S24 Ultra con camara de 200MP! Compra ya con financiacion|Samsung Colombia|4
6|B|MacBook Air M3 desde $4,500,000 COP! Potencia y portabilidad en uno|Apple Store|4
7|C|Pizza Dominos 2x1 todos los martes! Ordena online y recibe en 30 minutos|Dominos Pizza|3
8|AAA|Premium te permite regresar hasta 4 canciones! Controles avanzados disponibles|UdeATunes|5
9|B|AirPods Pro 2 con cancelacion de ruido activa! Ahora con USB-C|Apple Store|4
10|C|Coca-Cola Zero Azucar! El mismo sabor sin calorias|Coca-Cola Colombia|3
11|B|PlayStation 5 Slim disponible! Incluye 2 juegos gratis por tiempo limitado|Sony Interactive|4
12|C|McDonald's McCombo desde $15,000! Hamburguesa, papas y bebida|McDonalds Colombia|3
13|AAA|Sigue a tus amigos Premium y escucha sus favoritos! Unete a la comunidad|UdeATunes|5
14|B|Xbox Series X con Game Pass! Mas de 100 juegos desde el dia uno|Microsoft Xbox|4
15|C|KFC Bucket 9 piezas por solo $35,900! Pollo crujiente recien hecho|KFC Colombia|3
16|B|Netflix plan Premium 4K! Disfruta en 4 pantallas simultaneamente|Netflix|4
17|C|Sprite lima-limon refrescante! La bebida perfecta para tu dia|Coca-Cola Colombia|3
18|AAA|Modo aleatorio sin repeticiones! Premium te da el control total de tu musica|UdeATunes|5
19|B|Nintendo Switch OLED! Juega en casa o en movimiento|Nintendo Colombia|4
20|C|Subway sandwich del dia por $12,900! Fresco y delicioso|Subway Colombia|3
21|B|Disney+ ahora con Star! Miles de peliculas y series|Disney Plus|4
22|C|Pepsi Black sin azucar! Sabor intenso cero calorias|PepsiCo Colombia|3
23|AAA|Cancela tu cuenta cuando quieras! Sin permanencia minima|UdeATunes|5
24|B|Spotify Duo para parejas! Dos cuentas premium por $14,900/mes|Spotify Colombia|4
25|C|Burger King Whopper Jr por solo $8,900! Carne a la parrilla|Burger King Colombia|3
26|B|HBO Max con estrenos de Warner Bros el mismo dia! Suscribete ya|HBO Max|4
27|C|Gatorade recupera tus electrolitos! Hidratacion deportiva|PepsiCo Colombia|3
28|AAA|Descarga tus favoritos y escucha offline! Premium sin limites|UdeATunes|5
29|B|Amazon Prime Video con Champions League! Deportes y entretenimiento|Amazon Prime|4
30|C|Colombiana postobon! El sabor de Colombia en cada sorbo|Postobon|3
